City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,79.9,broken clouds,5.4112,100.3354,Cititel Penang
4,Montecristo,CO,84.97,broken clouds,8.2971,-74.4733,Casa Hotel Doña Mery
5,Campos Novos,BR,79.9,scattered clouds,-27.4017,-51.225,Hotel Corujão - Campos Novos
8,Lucea,JM,82.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
13,The Valley,AI,84.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
19,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Morondava,MG,80.64,few clouds,-20.2833,44.2833,La Case Bambou
22,Cape Town,ZA,76.26,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
26,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Axim,GH,83.28,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
30,Chuy,UY,77.31,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Naranjal,EC,84.0,overcast clouds,-2.6667,-79.6167,Media Naranja
41,Bengkulu,ID,75.7,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
43,Meulaboh,ID,77.58,broken clouds,4.1363,96.1285,Kost Pria
45,Key West,US,78.8,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
48,Port-Gentil,GA,81.3,light rain,-0.7193,8.7815,Fengshui Residence
49,Panguipulli,CL,76.71,clear sky,-39.6333,-72.3333,Cabañas Mis Viejos
62,Santo Antonio Do Ica,BR,87.66,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
64,Sao Filipe,CV,76.06,clear sky,14.8961,-24.4956,Hotel Xaguate
65,Obidos,BR,89.44,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
68,Mariara,VE,82.8,broken clouds,10.2964,-67.7181,El Carmen
77,Wajid,SO,89.15,overcast clouds,3.8093,43.2471,xamdihotelresturant114
81,Manacapuru,BR,88.38,light rain,-3.2997,-60.6206,Novo Hotel
83,Ciudad Bolivar,VE,89.4,overcast clouds,8.1222,-63.5497,Hotel Edi
85,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
87,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
92,Hambantota,LK,78.04,broken clouds,6.1241,81.1185,Bungalow 63
93,Mogadishu,SO,79.77,overcast clouds,2.0371,45.3438,Hotel Juba
97,Cidreira,BR,76.44,clear sky,-30.1811,-50.2056,Hotel Castelo
98,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
99,Carauari,BR,84.72,overcast clouds,-4.8828,-66.8958,Hotel Fellip
106,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
111,Bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
113,Viedma,AR,85.71,clear sky,-40.8135,-62.9967,Hotel Cristal
114,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
118,Castro,BR,88.45,few clouds,-24.7911,-50.0119,CHACARA BAILLY
121,Bubaque,GW,83.64,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Atar,MR,82.2,scattered clouds,20.5169,-13.0499,Oumou Elghoura
126,Peto,MX,77.99,clear sky,20.1333,-88.9167,Hotel D'Rodi&Eve
127,Catamarca,AR,83.82,light rain,-28.4696,-65.7852,Amerian Catamarca Park Hotel
128,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
130,Takoradi,GH,83.46,overcast clouds,4.8845,-1.7554,Raybow International Hotel
137,Coihaique,CL,83.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
140,Santa Maria,BR,89.74,overcast clouds,-29.6842,-53.8069,Hotel Morotin
141,Itarema,BR,88.25,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
143,Kudahuvadhoo,MV,82.58,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
146,Saint-Paul,RE,77.11,overcast clouds,-21.0096,55.2707,Boucan Canot
147,Cockburn Town,TC,82.36,few clouds,21.4612,-71.1419,Osprey Beach Hotel
148,Giyani,ZA,80.33,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
152,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
154,Karaton,ID,77.16,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
158,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
163,Varkkallai,IN,82.18,clear sky,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
166,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
172,Maldonado,UY,75.22,clear sky,-34.6667,-54.9167,La Cimarrona
174,Tabou,CI,83.66,broken clouds,4.423,-7.3528,hotêl doufoulougou
179,Ikot Ekpene,NG,89.64,scattered clouds,5.1794,7.7108,Prespter Royal Dutch
183,Astolfo Dutra,BR,86.67,broken clouds,-21.3153,-42.8622,Sítio do Ipê
184,Mulchen,CL,89.46,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
186,Rocha,UY,78.78,clear sky,-34.4833,-54.3333,Hotel Arrarte
189,Caravelas,BR,79.0,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
194,Arraial Do Cabo,BR,85.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
206,Iaciara,BR,79.72,light rain,-14.0958,-46.6317,Hotel Matinha
208,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
213,Aden,YE,77.13,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
221,Kavaratti,IN,79.9,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Benguela,AO,78.37,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
229,Kapoeta,SS,86.45,overcast clouds,4.7717,33.5903,Eastgate Hotel
231,Galle,LK,76.96,broken clouds,6.0367,80.217,Amangalla
238,Zabid,YE,78.75,few clouds,14.1951,43.3152,مغرب التريبه
244,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
253,Rawson,AR,76.59,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
255,Nisia Floresta,BR,86.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
256,Maragogi,BR,84.06,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
261,Jalingo,NG,85.8,scattered clouds,8.8833,11.3667,Debright Motel
266,Tefe,BR,88.83,moderate rain,-3.3542,-64.7114,Aracati Hotel
267,Bandarbeyla,SO,77.86,scattered clouds,9.4942,50.8122,JABIR HOTEL
268,Manoel Urbano,BR,75.24,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
