City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,70.88,88,0,10.0,clear sky
1,Georgetown,MY,5.4112,100.3354,79.9,86,73,4.56,broken clouds
2,Gwadar,PK,25.1216,62.3254,74.46,78,0,13.29,clear sky
3,Oksfjord,NO,70.2396,22.3479,30.0,97,100,17.13,light snow
4,Montecristo,CO,8.2971,-74.4733,84.97,71,84,3.76,broken clouds
5,Campos Novos,BR,-27.4017,-51.225,79.9,46,32,6.6,scattered clouds
6,Bonavista,CA,48.6499,-53.1147,30.11,71,26,15.95,scattered clouds
7,Hermanus,ZA,-34.4187,19.2345,73.9,75,50,20.02,scattered clouds
8,Lucea,JM,18.451,-78.1736,82.85,69,100,5.14,overcast clouds
9,Oranjemund,NA,-28.55,16.4333,67.23,69,0,7.65,clear sky
10,Melilla,ES,35.2937,-2.9383,61.18,94,20,3.44,few clouds
11,Necochea,AR,-38.5473,-58.7368,70.03,65,9,14.34,clear sky
12,Ushuaia,AR,-54.8,-68.3,55.02,50,0,17.27,clear sky
13,The Valley,AI,18.217,-63.0578,84.09,74,40,11.5,scattered clouds
14,Ayni,TJ,39.3941,68.5377,35.4,80,67,6.53,broken clouds
15,Porbandar,IN,21.6422,69.6093,71.47,76,41,8.81,scattered clouds
16,Jacareacanga,BR,-6.2222,-57.7528,95.25,40,76,4.61,broken clouds
17,Menongue,AO,-14.6585,17.691,72.55,71,81,4.07,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,25.59,62,12,12.26,few clouds
19,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,96,15.21,overcast clouds
20,Minab,IR,27.1467,57.0801,74.7,83,2,6.78,clear sky
21,Morondava,MG,-20.2833,44.2833,80.64,71,16,10.29,few clouds
22,Cape Town,ZA,-33.9258,18.4232,76.26,73,26,5.01,scattered clouds
23,Chadiza,ZM,-14.0678,32.4392,71.19,78,88,5.06,light rain
24,Valparaiso,CL,-33.0393,-71.6273,69.44,70,75,8.05,broken clouds
25,Longyearbyen,SJ,78.2186,15.6401,8.44,56,20,5.75,few clouds
26,Mahebourg,MU,-20.4081,57.7,79.25,83,100,15.79,overcast clouds
27,Fauske,NO,67.2588,15.3918,21.24,79,92,4.54,overcast clouds
28,Axim,GH,4.8699,-2.2405,83.28,63,97,9.35,overcast clouds
29,Vytegra,RU,61.0064,36.4481,8.89,97,100,9.78,overcast clouds
30,Chuy,UY,-33.6971,-53.4616,77.31,48,3,12.73,clear sky
31,Port Alfred,ZA,-33.5906,26.891,70.68,86,93,10.36,light rain
32,Taoudenni,ML,22.6783,-3.9836,79.66,19,64,10.89,broken clouds
33,Aksarka,RU,66.5606,67.7975,10.26,96,100,8.01,light snow
34,Ribeira Grande,PT,38.5167,-28.7,61.2,63,40,27.63,scattered clouds
35,Port Elizabeth,ZA,-33.918,25.5701,70.11,85,98,10.13,light rain
36,Naranjal,EC,-2.6667,-79.6167,84.0,81,100,2.44,overcast clouds
37,Candia,US,43.0779,-71.2767,37.06,95,100,3.06,snow
38,Aguas Belas,BR,-9.1114,-37.1231,94.95,25,98,5.82,overcast clouds
39,Rio Gallegos,AR,-51.6226,-69.2181,69.85,37,40,20.71,scattered clouds
40,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,94.87,44,98,4.63,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,75.7,89,30,4.32,moderate rain
42,Pokhara,NP,28.2333,83.9833,51.1,33,47,5.86,scattered clouds
43,Meulaboh,ID,4.1363,96.1285,77.58,85,73,1.97,broken clouds
44,Nantucket,US,41.2835,-70.0995,54.97,93,100,7.02,overcast clouds
45,Key West,US,24.5557,-81.7826,78.8,56,20,14.97,few clouds
46,Gazli,UZ,40.1333,63.45,48.31,60,10,6.2,clear sky
47,Torbay,CA,47.6666,-52.7314,30.76,72,39,8.01,scattered clouds
48,Port-Gentil,GA,-0.7193,8.7815,81.3,80,91,8.93,light rain
49,Panguipulli,CL,-39.6333,-72.3333,76.71,19,0,5.68,clear sky
50,Kamenka,RU,51.3223,42.7678,1.29,96,97,6.85,overcast clouds
51,Margate,GB,51.3813,1.3862,39.69,78,100,3.0,overcast clouds
52,Victoria,HK,22.2855,114.1577,68.38,87,30,3.0,scattered clouds
53,Temyasovo,RU,52.9933,58.1014,7.16,100,85,4.36,overcast clouds
