City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pisco,PE,2021-12-21 13:20:08,-13.7,-76.2167,69.03,88,75,1.14
1,Chuy,UY,2021-12-21 13:20:08,-33.6971,-53.4616,71.15,74,100,4.03
2,Punta Arenas,CL,2021-12-21 13:19:07,-53.15,-70.9167,57.31,58,75,37.98
3,Arraial Do Cabo,BR,2021-12-21 13:20:08,-22.9661,-42.0278,80.56,69,20,14.97
4,Coquimbo,CL,2021-12-21 13:20:09,-29.9533,-71.3436,64.13,77,75,5.75
5,Rincon,US,2021-12-21 13:20:09,32.296,-81.2354,44.85,95,90,8.05
6,Rawson,AR,2021-12-21 13:20:09,-43.3002,-65.1023,66.27,59,0,26.17
7,Dikson,RU,2021-12-21 13:20:10,73.5069,80.5464,-26.99,96,100,14.88
8,Baherden,TM,2021-12-21 13:20:10,38.4362,57.4316,61.27,34,0,12.46
9,Port Alfred,ZA,2021-12-21 13:20:10,-33.5906,26.891,76.66,74,95,24.79
10,Botwood,CA,2021-12-21 13:20:11,49.1499,-55.3482,20.68,92,100,5.79
11,Dmitriyevka,RU,2021-12-21 13:20:11,54.75,55.3333,31.55,98,100,6.24
12,Sao Filipe,CV,2021-12-21 13:20:11,14.8961,-24.4956,75.58,74,100,8.61
13,Puerto Del Rosario,ES,2021-12-21 13:20:12,28.5004,-13.8627,76.75,44,20,14.97
14,Presidencia Roque Saenz Pena,AR,2021-12-21 13:20:12,-26.7852,-60.4388,94.15,35,5,6.49
15,Santa Fe,AR,2021-12-21 13:19:13,-31.6333,-60.7,88.75,49,63,3.0
16,Adre,TD,2021-12-21 13:20:12,13.4667,22.2,84.18,16,0,12.46
17,Saint-Felicien,CA,2021-12-21 13:19:31,48.6501,-72.4491,9.28,72,40,12.66
18,Dwarka,IN,2021-12-21 13:20:13,22.2394,68.9678,73.26,45,0,9.78
19,Rudnichnyy,RU,2021-12-21 13:20:13,59.617,52.4703,18.46,97,100,4.56
20,Ushuaia,AR,2021-12-21 13:20:14,-54.8,-68.3,49.66,66,75,24.16
21,Namibe,AO,2021-12-21 13:20:15,-15.1961,12.1522,78.08,57,5,14.47
22,Lagoa,PT,2021-12-21 13:20:15,39.05,-27.9833,64.08,89,100,31.9
23,Marawi,PH,2021-12-21 13:20:16,7.9986,124.2928,67.64,91,100,0.78
24,Hambantota,LK,2021-12-21 13:20:16,6.1241,81.1185,79.38,82,32,5.46
25,Jamestown,US,2021-12-21 13:19:30,42.097,-79.2353,34.02,89,90,3.0
26,Caravelas,BR,2021-12-21 13:20:16,-17.7125,-39.2481,79.74,77,35,1.48
27,Hithadhoo,MV,2021-12-21 13:20:17,-0.6,73.0833,82.49,71,3,2.28
28,Saint George,US,2021-12-21 13:20:17,37.1041,-113.5841,40.53,80,1,0.0
29,Monzon,ES,2021-12-21 13:20:17,41.9108,0.1941,56.44,45,100,1.95
30,Saint-Philippe,RE,2021-12-21 13:20:17,-21.3585,55.7679,81.21,84,66,8.52
31,Cape Town,ZA,2021-12-21 13:17:18,-33.9258,18.4232,90.1,49,0,5.01
32,Alto Araguaia,BR,2021-12-21 13:20:18,-17.3147,-53.2153,78.22,77,100,6.11
33,Touros,BR,2021-12-21 13:20:18,-5.1989,-35.4608,86.9,63,100,12.55
34,Busselton,AU,2021-12-21 13:20:19,-33.65,115.3333,65.08,77,49,18.61
35,Manyana,BW,2021-12-21 13:20:19,-23.4,21.7167,81.7,37,100,8.75
36,Saint Anthony,US,2021-12-21 13:20:19,45.0205,-93.218,15.73,74,90,7.0
37,Vieste,IT,2021-12-21 13:20:09,41.8825,16.175,50.5,50,1,7.7
38,East London,ZA,2021-12-21 13:20:20,-33.0153,27.9116,77.94,73,40,18.41
39,Bredasdorp,ZA,2021-12-21 13:20:20,-34.5322,20.0403,86.29,68,9,13.8
40,Bathsheba,BB,2021-12-21 13:20:21,13.2167,-59.5167,84.81,70,20,21.85
41,Puerto Carreno,CO,2021-12-21 13:21:21,6.189,-67.4859,80.58,78,20,12.66
42,Vila Velha,BR,2021-12-21 13:17:32,-20.3297,-40.2925,76.95,85,75,9.22
43,Suluq,LY,2021-12-21 13:21:21,31.6682,20.2521,61.79,55,68,11.01
44,Mahebourg,MU,2021-12-21 13:21:22,-20.4081,57.7,80.89,78,75,9.22
45,Hermanus,ZA,2021-12-21 13:21:22,-34.4187,19.2345,86.81,53,1,17.67
46,Maxixe,MZ,2021-12-21 13:21:23,-23.8597,35.3472,78.75,59,58,11.21
47,Coihaique,CL,2021-12-21 13:19:14,-45.5752,-72.0662,61.41,39,0,6.91
48,Ngaoundere,CM,2021-12-21 13:21:23,7.3167,13.5833,86.45,19,49,7.43
49,Tessalit,ML,2021-12-21 13:21:23,20.1986,1.0114,79.36,13,83,12.77
50,Zwedru,LR,2021-12-21 13:21:24,6.0667,-8.1281,94.93,14,6,5.59
51,Zmeinogorsk,RU,2021-12-21 13:21:25,51.1567,82.195,16.61,99,89,3.4
52,Acarau,BR,2021-12-21 13:21:25,-2.8856,-40.12,87.48,59,80,17.52
53,San Jose De Guanipa,VE,2021-12-21 13:21:25,8.8872,-64.1651,77.99,75,100,12.75
54,Qaanaaq,GL,2021-12-21 13:21:26,77.484,-69.3632,37.6,82,100,13.49
55,Olmos,PE,2021-12-21 13:21:26,-5.9847,-79.7453,65.89,70,95,2.86
56,Khandbari,NP,2021-12-21 13:21:27,27.3747,87.2039,52.3,69,30,1.99
57,Nyagan,RU,2021-12-21 13:21:27,62.1406,65.3936,-5.48,100,92,2.59
58,Georgetown,MY,2021-12-21 13:16:48,5.4112,100.3354,80.53,91,20,3.44
59,Hoopstad,ZA,2021-12-21 13:21:27,-27.8327,25.9083,82.94,30,100,9.84
60,Clyde River,CA,2021-12-21 13:21:28,70.4692,-68.5914,8.83,85,100,6.91
61,Juan Lacaze,UY,2021-12-21 13:21:28,-34.4342,-57.4381,76.12,61,85,13.02
62,Longyearbyen,SJ,2021-12-21 13:21:29,78.2186,15.6401,13.84,92,75,10.36
63,Polyarnyy,RU,2021-12-21 13:21:29,69.1989,33.4478,19.87,74,100,5.55
64,Bambous Virieux,MU,2021-12-21 13:21:29,-20.3428,57.7575,80.85,78,75,9.22
65,Chinhoyi,ZW,2021-12-21 13:21:30,-17.3667,30.2,77.2,59,100,6.98
66,Jacareacanga,BR,2021-12-21 13:21:30,-6.2222,-57.7528,80.91,89,75,0.0
67,Tasiilaq,GL,2021-12-21 13:21:30,65.6145,-37.6368,33.96,60,100,9.66
68,Maues,BR,2021-12-21 13:21:31,-3.3836,-57.7186,79.48,91,99,3.76
69,Galdar,ES,2021-12-21 13:21:31,28.147,-15.6502,70.3,66,100,9.08
70,Dingle,PH,2021-12-21 13:21:31,10.9995,122.6711,76.3,86,100,5.53
71,Mar Del Plata,AR,2021-12-21 13:16:44,-38.0023,-57.5575,66.87,89,100,3.0
72,Narsaq,GL,2021-12-21 13:21:32,60.9167,-46.05,50.22,64,100,14.88
73,Linares,CL,2021-12-21 13:21:32,-35.85,-71.6,71.82,28,0,6.58
74,Riyadh,SA,2021-12-21 13:21:26,24.6877,46.7219,71.74,34,1,12.3
75,Nantucket,US,2021-12-21 13:17:53,41.2835,-70.0995,42.15,77,14,25.46
76,Meulaboh,ID,2021-12-21 13:21:33,4.1363,96.1285,78.66,82,99,1.97
77,Cockburn Town,TC,2021-12-21 13:21:33,21.4612,-71.1419,78.76,69,40,5.75
78,Klaksvik,FO,2021-12-21 13:21:33,62.2266,-6.589,38.32,70,72,12.33
79,Upernavik,GL,2021-12-21 13:21:34,72.7868,-56.1549,27.18,71,56,4.05
80,Qasigiannguit,GL,2021-12-21 13:21:34,68.8193,-51.1922,46.65,54,94,19.62
81,Patos De Minas,BR,2021-12-21 13:21:34,-18.5789,-46.5181,77.31,69,20,5.59
82,Ilulissat,GL,2021-12-21 13:21:35,69.2167,-51.1,46.42,34,40,20.71
83,Ribeira Grande,PT,2021-12-21 13:21:35,38.5167,-28.7,66.6,88,75,26.46
84,San Ramon,US,2021-12-21 13:20:33,37.7799,-121.978,44.65,90,90,4.0
85,Gazanjyk,TM,2021-12-21 13:21:35,39.2446,55.5154,56.23,61,0,21.16
86,Williamsburg,US,2021-12-21 13:17:53,37.2707,-76.7075,44.35,83,90,1.01
87,Carnarvon,AU,2021-12-21 13:21:36,-24.8667,113.6333,75.27,69,47,23.02
88,Khowst,AF,2021-12-21 13:22:36,33.3833,69.8833,50.97,29,100,1.28
89,Thunder Bay,CA,2021-12-21 13:22:37,48.4001,-89.3168,5.29,73,90,3.44
90,Havre-Saint-Pierre,CA,2021-12-21 13:22:37,50.2334,-63.5986,18.19,85,90,6.91
91,Ponta Do Sol,PT,2021-12-21 13:22:37,32.6667,-17.1,70.0,84,100,11.74
92,Novyy Urengoy,RU,2021-12-21 13:18:47,66.0833,76.6333,-9.04,94,100,15.17
93,Santo Tomas,PH,2021-12-21 13:22:38,14.1079,121.1414,81.57,91,8,3.15
94,Gazli,UZ,2021-12-21 13:22:38,40.1333,63.45,63.88,36,83,22.55
95,Mastic Beach,US,2021-12-21 13:22:39,40.7668,-72.8521,35.98,75,1,3.0
96,Brandys Nad Labem-Stara Boleslav,CZ,2021-12-21 13:22:39,50.1871,14.6633,39.54,69,75,5.75
97,Beawar,IN,2021-12-21 13:22:39,26.1,74.3167,64.18,20,0,2.64
98,Sur,OM,2021-12-21 13:22:40,22.5667,59.5289,75.7,61,3,5.75
99,Ponta Delgada,PT,2021-12-21 13:22:40,37.7333,-25.6667,66.51,94,75,19.57
100,Jinka,ET,2021-12-21 13:22:40,5.65,36.65,87.01,27,99,3.33
101,Moose Factory,CA,2021-12-21 13:22:41,51.2585,-80.6094,-4.0,77,1,14.97
102,San Cristobal,VE,2021-12-21 13:22:41,7.7669,-72.225,69.98,73,88,2.73
103,Ngozi,BI,2021-12-21 13:22:41,-2.9075,29.8306,67.26,82,90,4.68
104,Kuytun,RU,2021-12-21 13:22:42,54.3419,101.5036,-17.1,96,54,3.42
105,Port Elizabeth,ZA,2021-12-21 13:22:42,-33.918,25.5701,73.69,78,0,19.57
106,Sakakah,SA,2021-12-21 13:22:42,29.9697,40.2064,60.37,38,1,10.92
107,Cordoba,AR,2021-12-21 13:20:16,-31.4135,-64.1811,95.41,32,75,5.99
108,Cabedelo,BR,2021-12-21 13:22:43,-6.9811,-34.8339,86.67,66,100,12.28
109,Bilma,NE,2021-12-21 13:22:43,18.6853,12.9164,72.3,17,6,7.72
110,Cayenne,GF,2021-12-21 13:22:43,4.9333,-52.3333,83.08,86,75,1.99
